speaker_id,recording_id,relative_path,source_sha256,source_sample_rate,original_duration_seconds,converted_num_samples,crop_start_sample,crop_end_sample,crop_start_seconds,crop_end_seconds,crop_duration_seconds,total_detected_speech_seconds,candidate_window_count,valid_window_count,valid_segment_ranges,status,failure_reason
bomman,bomman1,audio_val/bomman/bomman1.wav,17ea238932c277956425f6995f83b699a731a7e27a78b82a513634a98729999c,44100,20.851519274376418,333625,86812,246812,5.42575,15.42575,10.0,10.0,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":3.0},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":3.0},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":3.0},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":3.0},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":3.0}]",passed,
bomman,bomman2,audio_val/bomman/bomman2.wav,f8875dc6f2d8979afa36b52effd41c7e8dbd1e5a00b854f712c8e05f4afbb1c6,44100,24.775238095238095,396404,118202,278202,7.387625,17.387625,10.0,9.92,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":3.0},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":3.0},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.96},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.96},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.96}]",passed,
bomman,bomman3,audio_val/bomman/bomman3.wav,8d6b48ba163700ec869bb4b187e20d37cc9a4c89e5c081b3f55a6377a3e8651c,44100,22.917097505668934,366674,103337,263337,6.4585625,16.4585625,10.0,9.96,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.98},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":3.0},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":3.0},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.98},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.98}]",passed,
domixi,domixi1,audio_val/domixi/domixi1.wav,e08eb72243af0dd1ab3207c3988b3bab726a2ea6b1a12e540c5f8c656c80d5ae,44100,24.938231292517006,399012,119506,279506,7.469125,17.469125,10.0,9.98,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":3.0},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":3.0},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.98},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.98},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":3.0}]",passed,
domixi,domixi2,audio_val/domixi/domixi2.wav,fc0997f2a6ad06e492cae5023ae21f24ac06052b493adb22fa782baca4b836cd,44100,28.49612244897959,455938,147969,307969,9.2480625,19.2480625,10.0,6.48,5,2,"[{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.2},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":3.0}]",passed,
domixi,domixi3,audio_val/domixi/domixi3.wav,d9313c2f97af370ed1ef794f17355ad2c1c279f85aa31cf46ffd482936210ed7,44100,28.57573696145125,457212,148606,308606,9.287875,19.287875,10.0,9.68,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.68},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.7},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":3.0},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":3.0},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":3.0}]",passed,
huanhoahong,huanhoahong1,audio_val/huanhoahong/huanhoahong1.wav,8fe826c8b714278cee6b392747848cfd6127c96b17578c12f2e067944114a19c,44100,24.91501133786848,398641,119320,279320,7.4575,17.4575,10.0,9.28,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.62},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.84},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.7},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.8},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.96}]",passed,
huanhoahong,huanhoahong2,audio_val/huanhoahong/huanhoahong2.wav,c1623db148cf96c8148bfbf4a4546411118d0d4c94b264e497584dfc59625ebb,44100,20.237074829931974,323794,81897,241897,5.1185625,15.1185625,10.0,7.82,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.66},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.56},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":1.94},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":1.96},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.22}]",passed,
huanhoahong,huanhoahong3,audio_val/huanhoahong/huanhoahong3.wav,235f2b1e05f9354cb2dc8f3fc3032ccb0e5a1289454ceb00c342e9c807a1bf19,44100,25.818208616780044,413092,126546,286546,7.909125,17.909125,10.0,9.48,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.98},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.86},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.88},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.96},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.62}]",passed,
jv,jv1,audio_val/jv/jv1.wav,3e7120a93a2f1d4d23258518c897e56b15cb26df6101bd891357bf2b4671c58c,44100,25.007891156462584,400127,120063,280063,7.5039375,17.5039375,10.0,8.86,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.96},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":3.0},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.9},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.5},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.0}]",passed,
jv,jv2,audio_val/jv/jv2.wav,44523797afca7ad0368027558f354f18b97ada7977e8ce911775f971902512ff,44100,20.07090702947846,321135,80567,240567,5.0354375,15.0354375,10.0,9.4,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.82},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.82},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.72},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.72},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.86}]",passed,
jv,jv3,audio_val/jv/jv3.wav,9bf5d6b00c6d6eb28cc0487471c18e74832ce59197b26da0b365cfa4652dfb18,44100,20.07090702947846,321135,80567,240567,5.0354375,15.0354375,10.0,9.36,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.78},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":3.0},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.94},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.7},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.64}]",passed,
khabanh,khabanh1,audio_val/khabanh/khabanh1.wav,5b8903a610024eb2e13d54e13c71c060f46412cac40263ee2b67c7dd62822d78,44100,28.46766439909297,455483,147741,307741,9.2338125,19.2338125,10.0,8.82,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.56},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.82},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.42},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.4},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.98}]",passed,
khabanh,khabanh2,audio_val/khabanh/khabanh2.wav,955a0b31dcf7a4adebccf992ff93c2df444b3bd288523526678a3492fe6728aa,44100,26.136689342403628,418188,129094,289094,8.068375,18.068375,10.0,7.4,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.02},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.08},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":3.0},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":3.0},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.22}]",passed,
khabanh,khabanh3,audio_val/khabanh/khabanh3.wav,ce06ca6a595e18d5d2ab0b5c46f52e7dd50f9165ca11998da22d9775f97c5a3a,44100,26.136689342403628,418188,129094,289094,8.068375,18.068375,10.0,9.88,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":3.0},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.88},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.88},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":3.0},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":3.0}]",passed,
ntn,ntn1,audio_val/ntn/ntn1.wav,42bf9c9550fa1e11e5fcd1475a402a62fc7a260657ed2a46117cdfa01411b1d5,44100,29.95374149659864,479260,159630,319630,9.976875,19.976875,10.0,7.62,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.32},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.38},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.38},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":2.64},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.18}]",passed,
ntn,ntn2,audio_val/ntn/ntn2.wav,9b506c872529c66bd03232d7e3ff12ff3ba66ad01f7bf428f95e1f7ab68360ea,44100,22.167233560090704,354676,97338,257338,6.083625,16.083625,10.0,9.72,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.86},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.84},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.88},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":3.0},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.98}]",passed,
ntn,ntn3,audio_val/ntn/ntn3.wav,6edaab74e2dbf36b27ba93a685d82ad85f0c12f977d49373f7addf1958fc54de,44100,20.581950113378685,329312,84656,244656,5.291,15.291,10.0,6.02,5,4,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":1.9},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.26},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":1.98},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":1.54}]",passed,
pewpew,pewpew1,audio_val/pewpew/pewpew1.wav,6a092513e79d56142529e401fd0b146c63a33e7d7b77cfd13aad75f2c1fd1256,44100,27.422766439909296,438765,139382,299382,8.711375,18.711375,10.0,9.84,5,5,"[{""start_seconds"":0.0,""end_seconds"":3.0,""speech_seconds"":2.96},{""start_seconds"":1.5,""end_seconds"":4.5,""speech_seconds"":2.88},{""start_seconds"":3.0,""end_seconds"":6.0,""speech_seconds"":2.9},{""start_seconds"":4.5,""end_seconds"":7.5,""speech_seconds"":3.0},{""start_seconds"":6.0,""end_seconds"":9.0,""speech_seconds"":2.98}]",passed,
